"","Valence","VidLength_ms","VidLength_sec","Accuracy","TruthProp","Veracity"
"207",-0.998436277385793,1.595711342296,1.59520527538495,0.0565369317004515,-0.355790511833252,"1"
"1",0.998436277385793,0.874624209556232,0.873561384536716,1.22689713509524,0.958529416439654,"1"
"193",0.998436277385793,-0.23736202413262,-0.237541114070877,1.86084224526741,1.67045271092081,"1"
"33",0.998436277385793,0.813626767430111,0.813424393632697,1.42195716899437,1.17758273781847,"1"
"37",0.998436277385793,0.93590802465008,0.93656204167426,0.934307084246539,0.629949434371428,"1"
"92",0.998436277385793,-0.256835385938142,-0.25758677770555,-2.0403584327152,1.67045271092081,"0"
"58",-0.998436277385793,-1.44671506684908,-1.44600826461831,-0.0897580937238966,-0.520080502867365,"0"
"270",-0.998436277385793,0.0200872738550903,0.020188846946348,-0.967528246269984,0.465659443337315,"0"
"5",0.998436277385793,0.178165152041092,0.177690489790209,0.349126982549147,-0.0272105297650254,"1"
"163",-0.998436277385793,-0.725914307077039,-0.727228040003604,1.42195716899437,1.17758273781847,"1"
"257",0.998436277385793,-1.94614952256717,-1.94714985548514,-0.236053119148245,-0.684370493901478,"1"
"239",-0.998436277385793,1.43677434520682,1.43770363254109,0.00777192322566878,-0.410553842177956,"1"
"310",-0.998436277385793,0.421009428674661,0.421102119639811,-0.674938195421289,0.137079461269088,"0"
"156",0.998436277385793,1.33912116321148,1.34033898060124,-0.479878161522158,-0.0819738601097299,"0"
"305",0.998436277385793,-0.600482947212059,-0.601226725728515,0.592952024923061,0.246606121958497,"1"
"216",0.998436277385793,0.495752773251738,0.495557441711453,0.300361974074364,-0.958187145625,"0"
"277",0.998436277385793,-1.54551374071533,-1.54623658279167,0.446656999498713,0.0823161309243835,"1"
"98",-0.998436277385793,-1.14459158589576,-1.14532331009821,-0.674938195421289,0.137079461269088,"0"
"241",0.998436277385793,-1.08731699235011,-1.08804998542772,-1.30888330559346,-1.88916376148498,"1"
"208",0.998436277385793,-0.322701168515642,-0.323451101076617,0.00777192322566878,-0.629607163556774,"0"
"70",-0.998436277385793,-0.224761613552576,-0.226086449136778,0.349126982549147,-1.0129504759697,"0"
"149",0.998436277385793,0.862310171943916,0.862106719602618,1.37319216051958,1.12281940747377,"1"
"204",0.998436277385793,0.312760446873377,0.312282802765871,-1.35764831406825,0.90376608609495,"0"
"221",0.998436277385793,0.312474073905648,0.312282802765871,0.885542075771756,0.575186104026723,"1"
"279",-0.998436277385793,-0.0944619132362155,-0.0943578023946404,-0.0897580937238966,-0.520080502867365,"1"
"83",-0.998436277385793,-0.361647892126686,-0.360678762112439,0.885542075771756,0.575186104026723,"1"
